episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
176,-44.7044,-0.34925,-45.2739,-43.5202,1.06871,0.0017,3.76761,0.006279,0.008404,ppo
177,-46.0098,-0.35945,-45.3373,-43.5202,1.06861,0.00182,3.9705,0.006567,0.010724,ppo
178,-45.7767,-0.35763,-45.3303,-43.5202,1.06842,0.00142,3.92865,0.013494,0.009504,ppo
179,-44.3125,-0.34619,-45.2457,-43.5202,1.06778,0.00167,3.70901,0.00655,0.008187,ppo
180,-44.2704,-0.34586,-45.2364,-43.5202,1.06741,0.00167,3.70352,0.006551,0.008175,ppo
181,-46.0098,-0.35945,-45.3334,-43.5202,1.06861,0.00182,3.9705,0.006567,0.010724,ppo
182,-45.148,-0.35272,-45.3866,-43.5202,1.06741,0.00173,3.84058,0.006312,0.008806,ppo
183,-45.7874,-0.35771,-45.4275,-43.5202,1.06787,0.00178,3.93864,0.006406,0.00959,ppo
184,-43.7178,-0.34154,-45.3339,-43.5202,1.06852,0.00156,3.61358,0.006901,0.008252,ppo
185,-46.1996,-0.36093,-45.3723,-43.5202,1.06815,0.0014,3.99495,0.013889,0.009994,ppo
186,-45.9548,-0.35902,-45.3956,-43.5202,1.06784,0.0018,3.96466,0.006466,0.009975,ppo
187,-45.8524,-0.35822,-45.3999,-43.5202,1.06743,0.00165,3.94806,0.007686,0.01187,ppo
188,-46.0544,-0.3598,-45.406,-43.5202,1.06714,0.00147,3.98084,0.008059,0.010564,ppo
189,-46.179,-0.36077,-45.4223,-43.5202,1.06827,0.0014,3.99148,0.013832,0.009849,ppo
190,-45.9058,-0.35864,-45.4537,-43.5202,1.06908,0.00189,3.9521,0.006672,0.012195,ppo
191,-45.756,-0.35747,-45.5019,-43.5202,1.06802,0.00192,3.93156,0.006707,0.01285,ppo
192,-45.2465,-0.35349,-45.4651,-43.5202,1.06913,0.00146,3.8441,0.013149,0.009171,ppo
193,-45.8976,-0.35857,-45.5232,-43.5202,1.06909,0.00189,3.95078,0.006673,0.012225,ppo
194,-45.8946,-0.35855,-45.5292,-43.5202,1.06699,0.0016,3.95604,0.007822,0.011516,ppo
195,-45.8562,-0.35825,-45.5267,-43.5202,1.0681,0.00179,3.94864,0.006426,0.009705,ppo
196,-45.766,-0.35755,-45.5798,-43.5202,1.06861,0.00188,3.93119,0.006923,0.012828,ppo
197,-43.5939,-0.34058,-45.459,-43.5202,1.06863,0.00157,3.59399,0.006833,0.00818,ppo
198,-45.7653,-0.35754,-45.4584,-43.5202,1.06784,0.00184,3.93331,0.007062,0.012751,ppo
199,-45.972,-0.35916,-45.5414,-43.5202,1.06876,0.00186,3.96377,0.006636,0.011493,ppo
200,-43.8617,-0.34267,-45.5209,-43.5202,1.06773,0.00164,3.63873,0.006604,0.008076,ppo
201,-45.2663,-0.35364,-45.4838,-43.5202,1.06911,0.00146,3.84723,0.013163,0.009182,ppo
202,-43.5233,-0.34003,-45.4025,-43.5202,1.06791,0.0016,3.5852,0.006735,0.008113,ppo
203,-44.8079,-0.35006,-45.3536,-43.5202,1.06783,0.00171,3.78635,0.006284,0.008501,ppo
204,-44.7554,-0.34965,-45.4054,-43.5202,1.06819,0.00149,3.77028,0.013152,0.008865,ppo
205,-45.0028,-0.35158,-45.3456,-43.5202,1.06755,0.00172,3.81754,0.006298,0.008661,ppo
206,-46.2014,-0.36095,-45.3579,-43.5202,1.06826,0.0014,3.99496,0.013876,0.00989,ppo
207,-46.1067,-0.36021,-45.3706,-43.5202,1.06815,0.00144,3.98603,0.0081,0.010348,ppo
208,-45.756,-0.35747,-45.3557,-43.5202,1.06802,0.00192,3.93156,0.006707,0.01285,ppo
209,-45.896,-0.35856,-45.3416,-43.5202,1.06776,0.00162,3.95392,0.007772,0.01166,ppo
210,-45.7616,-0.35751,-45.3344,-43.5202,1.06795,0.00192,3.93263,0.006706,0.012824,ppo
211,-43.6239,-0.34081,-45.2277,-43.5202,1.06854,0.00157,3.5989,0.00685,0.008197,ppo
212,-46.1996,-0.36093,-45.2754,-43.5202,1.06815,0.0014,3.99495,0.013889,0.009994,ppo
213,-45.5061,-0.35552,-45.2558,-43.5202,1.06731,0.00176,3.89659,0.006353,0.009211,ppo
214,-45.7678,-0.35756,-45.2495,-43.5202,1.06812,0.00185,3.93289,0.007015,0.012775,ppo
215,-44.5314,-0.3479,-45.1833,-43.5202,1.06844,0.0015,3.73469,0.013021,0.008705,ppo
216,-45.5661,-0.35599,-45.1733,-43.5202,1.06737,0.00177,3.90573,0.006363,0.009292,ppo
217,-45.954,-0.35902,-45.2913,-43.5202,1.0667,0.00154,3.96629,0.007949,0.011082,ppo
218,-45.3285,-0.35413,-45.2694,-43.5202,1.06898,0.00145,3.85731,0.0132,0.009211,ppo
219,-45.8734,-0.35839,-45.2645,-43.5202,1.06738,0.00163,3.95149,0.007743,0.011747,ppo
220,-45.9815,-0.35923,-45.3705,-43.5202,1.06874,0.00185,3.96545,0.006615,0.011222,ppo
