episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
153,-24.127,-0.377,-22.9194,-20.7675,0.8785,0.4025,2.4926,0.9578,2.6282,ppo_live
154,-24.1607,-0.3775,-22.9326,-20.7675,0.8604,0.4074,2.3732,1.155,2.5838,ppo_live
155,-25.1872,-0.3936,-23.0539,-20.7675,0.8844,0.4059,2.8199,0.947,2.6123,ppo_live
156,-24.0327,-0.3755,-23.0684,-20.7675,0.9323,0.3928,2.3934,0.9386,2.471,ppo_live
157,-24.1793,-0.3778,-23.0962,-20.7675,0.9337,0.3949,2.5838,0.814,2.4054,ppo_live
158,-24.2473,-0.3789,-23.0949,-20.7675,0.8519,0.383,3.0349,0.5365,2.6679,ppo_live
159,-23.2055,-0.3626,-23.0808,-20.7675,0.8474,0.4184,2.1958,0.9123,2.9577,ppo_live
160,-21.4549,-0.3352,-23.0554,-20.7675,0.922,0.3987,2.3067,0.3832,2.1254,ppo_live
161,-19.9168,-0.3112,-22.7465,-19.9168,0.8928,0.3999,1.914,0.3998,2.0797,ppo_live
162,-21.4419,-0.335,-22.7264,-19.9168,0.929,0.3938,2.3401,0.3065,2.1828,ppo_live
163,-20.7985,-0.325,-22.4959,-19.9168,0.8495,0.3733,2.385,0.3077,2.2126,ppo_live
164,-22.6249,-0.3535,-22.5888,-19.9168,0.9615,0.4,2.0122,0.6826,2.7279,ppo_live
165,-23.2488,-0.3633,-22.7069,-19.9168,0.8751,0.4244,2.5342,0.5369,2.8615,ppo_live
166,-22.4282,-0.3504,-22.7716,-19.9168,0.882,0.3988,2.5451,0.4224,2.4914,ppo_live
167,-20.8875,-0.3264,-22.7141,-19.9168,0.9116,0.4145,1.903,0.5343,2.3521,ppo_live
168,-24.1409,-0.3772,-22.8335,-19.9168,0.8736,0.4629,2.6736,0.8927,2.2349,ppo_live
169,-21.0988,-0.3297,-22.7147,-19.9168,0.8783,0.4185,1.7,0.9793,2.1523,ppo_live
170,-20.2202,-0.3159,-22.6449,-19.9168,0.8478,0.4106,1.6562,0.7798,2.3221,ppo_live
171,-22.975,-0.359,-22.663,-19.9168,0.9102,0.4355,2.3055,0.852,2.1405,ppo_live
172,-21.2396,-0.3319,-22.5808,-19.9168,0.8794,0.4372,2.2602,0.5338,1.9199,ppo_live
173,-21.4443,-0.3351,-22.4467,-19.9168,0.8966,0.4329,2.2508,0.5024,2.0638,ppo_live
174,-22.0088,-0.3439,-22.3391,-19.9168,0.9032,0.4028,2.4289,0.5091,2.0687,ppo_live
175,-23.7775,-0.3715,-22.2686,-19.9168,0.8927,0.4691,2.4159,0.8272,2.6003,ppo_live
176,-21.9761,-0.3434,-22.1657,-19.9168,0.9528,0.401,1.9091,0.6169,2.7053,ppo_live
177,-21.5399,-0.3366,-22.0338,-19.9168,0.8743,0.3848,1.8216,0.9517,2.3757,ppo_live
178,-22.0546,-0.3446,-21.9241,-19.9168,0.8373,0.4197,2.0832,0.8322,2.6129,ppo_live
179,-20.8598,-0.3259,-21.8068,-19.9168,0.8764,0.4052,1.7954,0.6982,2.4769,ppo_live
180,-18.5802,-0.2903,-21.6631,-18.5802,0.8543,0.3722,1.6106,0.4436,2.0426,ppo_live
181,-20.7798,-0.3247,-21.7063,-18.5802,0.9026,0.3954,2.1196,0.3217,2.3727,ppo_live
182,-19.579,-0.3059,-21.6131,-18.5802,0.8819,0.3843,1.6818,0.4716,2.3376,ppo_live
183,-21.658,-0.3384,-21.6561,-18.5802,0.9216,0.4083,2.1012,0.4285,2.663,ppo_live
184,-19.337,-0.3021,-21.4917,-18.5802,0.9218,0.4142,1.7201,0.2812,2.1546,ppo_live
185,-19.6282,-0.3067,-21.3107,-18.5802,0.8656,0.3503,1.9887,0.3771,2.0523,ppo_live
186,-23.0851,-0.3607,-21.3435,-18.5802,0.9178,0.3851,2.4679,0.5475,2.6504,ppo_live
187,-22.4398,-0.3506,-21.4211,-18.5802,0.8401,0.4176,2.2664,0.4625,3.3643,ppo_live
188,-25.2989,-0.3953,-21.479,-18.5802,0.8341,0.4564,2.2358,1.3511,3.401,ppo_live
189,-23.1524,-0.3618,-21.5817,-18.5802,0.8418,0.373,2.3513,0.9906,2.487,ppo_live
190,-21.2201,-0.3316,-21.6317,-18.5802,0.8258,0.3799,2.0861,0.73,2.3947,ppo_live
191,-20.9951,-0.328,-21.5327,-18.5802,0.8376,0.421,1.7686,0.7868,2.6796,ppo_live
192,-19.9253,-0.3113,-21.467,-18.5802,0.9035,0.3772,1.622,0.4444,2.6815,ppo_live
193,-21.4813,-0.3356,-21.4688,-18.5802,0.852,0.3771,2.2046,0.5091,2.6654,ppo_live
194,-20.8871,-0.3264,-21.4128,-18.5802,0.8554,0.3774,2.0473,0.3525,2.9593,ppo_live
195,-20.7946,-0.3249,-21.2636,-18.5802,0.907,0.387,1.7831,0.4556,2.8793,ppo_live
196,-20.0803,-0.3138,-21.1688,-18.5802,0.8934,0.3695,1.9323,0.3016,2.4788,ppo_live
197,-21.3143,-0.333,-21.1575,-18.5802,0.8768,0.4219,2.0401,0.417,2.8782,ppo_live
198,-22.1916,-0.3467,-21.1644,-18.5802,0.8815,0.378,2.407,0.4821,2.5582,ppo_live
199,-21.6244,-0.3379,-21.2026,-18.5802,0.8583,0.4082,2.2553,0.4112,2.77,ppo_live
200,-20.8161,-0.3253,-21.3144,-18.5802,0.9009,0.3912,2.1215,0.3179,2.4293,ppo_live
201,-19.359,-0.3025,-21.2434,-18.5802,0.8631,0.4241,1.7768,0.3117,2.3698,ppo_live
202,-18.9943,-0.2968,-21.2142,-18.5802,0.8557,0.3902,1.7686,0.3623,2.1191,ppo_live
203,-21.033,-0.3286,-21.1829,-18.5802,0.8878,0.4198,2.0637,0.4116,2.5355,ppo_live
204,-21.7924,-0.3405,-21.3057,-18.5802,0.9057,0.4074,1.7291,0.8652,2.7281,ppo_live
205,-19.5605,-0.3056,-21.3023,-18.5802,0.8505,0.3838,1.5422,0.7162,2.297,ppo_live
206,-21.4864,-0.3357,-21.2224,-18.5802,0.8767,0.3983,1.7718,0.7274,2.9675,ppo_live
207,-21.2062,-0.3313,-21.1607,-18.5802,0.8414,0.398,2.0132,0.6458,2.6144,ppo_live
208,-21.2107,-0.3314,-20.9563,-18.5802,0.8924,0.3869,2.1071,0.639,2.0458,ppo_live
209,-21.2169,-0.3315,-20.8595,-18.5802,0.9116,0.4024,1.8144,0.7318,2.3672,ppo_live
210,-22.0083,-0.3439,-20.8989,-18.5802,0.8616,0.3958,2.0171,0.9472,2.3316,ppo_live
211,-21.0594,-0.3291,-20.9021,-18.5802,0.8118,0.4437,1.9934,0.6699,2.5963,ppo_live
212,-21.531,-0.3364,-20.9824,-18.5802,0.8893,0.3795,1.851,0.8692,2.4023,ppo_live
213,-21.1134,-0.3299,-20.964,-18.5802,0.8873,0.3819,2.0028,0.4402,2.7778,ppo_live
214,-20.3958,-0.3187,-20.9394,-18.5802,0.8623,0.3866,1.8313,0.5948,2.4353,ppo_live
215,-19.4004,-0.3031,-20.8697,-18.5802,0.9115,0.3842,1.792,0.3085,2.1088,ppo_live
216,-21.2543,-0.3321,-20.9284,-18.5802,0.8784,0.3896,2.2884,0.343,2.4642,ppo_live
217,-20.1683,-0.3151,-20.8711,-18.5802,0.8782,0.394,1.8546,0.3943,2.5626,ppo_live
218,-20.8832,-0.3263,-20.8057,-18.5802,0.8898,0.4356,1.7368,0.575,2.7725,ppo_live
219,-20.1354,-0.3146,-20.7313,-18.5802,0.835,0.3727,1.8002,0.5807,2.5839,ppo_live
220,-18.6453,-0.2913,-20.6227,-18.5802,0.903,0.3714,1.6037,0.1671,2.4387,ppo_live
221,-20.0632,-0.3135,-20.6579,-18.5802,0.8283,0.3857,2.2288,0.1907,2.4489,ppo_live
222,-19.2248,-0.3004,-20.6694,-18.5802,0.9181,0.3871,1.4981,0.3493,2.5473,ppo_live
223,-20.8239,-0.3254,-20.659,-18.5802,0.8543,0.3824,1.9947,0.5569,2.526,ppo_live
224,-20.2131,-0.3158,-20.58,-18.5802,0.8523,0.3753,1.8146,0.5444,2.5638,ppo_live
225,-19.9694,-0.312,-20.6005,-18.5802,0.8595,0.4063,1.6889,0.3763,2.9759,ppo_live
226,-22.3903,-0.3498,-20.6457,-18.5802,0.9366,0.4142,2.1251,0.5106,2.8434,ppo_live
227,-20.7156,-0.3237,-20.6211,-18.5802,0.8829,0.3876,1.6401,0.8022,2.4875,ppo_live
228,-19.7466,-0.3085,-20.5479,-18.5802,0.8909,0.3791,1.6282,0.5108,2.4495,ppo_live
229,-21.052,-0.3289,-20.5397,-18.5802,0.9205,0.4495,1.6203,0.5764,2.9273,ppo_live
230,-21.3056,-0.3329,-20.5045,-18.5802,0.9022,0.3874,1.7575,0.809,2.4937,ppo_live
231,-21.479,-0.3356,-20.5255,-18.5802,0.9058,0.3741,1.8505,0.834,2.3401,ppo_live
232,-18.7951,-0.2937,-20.3887,-18.5802,0.8214,0.3916,1.2639,0.9441,2.0239,ppo_live
233,-18.8597,-0.2947,-20.276,-18.5802,0.9141,0.4039,1.1914,0.7878,1.9208,ppo_live
234,-19.9805,-0.3122,-20.2553,-18.5802,0.8803,0.3685,1.6977,0.7485,1.9708,ppo_live
235,-19.0618,-0.2978,-20.2383,-18.5802,0.9087,0.381,1.3788,0.6606,2.0258,ppo_live
236,-19.1004,-0.2984,-20.1307,-18.5802,0.8498,0.3974,1.4597,0.7514,2.0273,ppo_live
237,-17.9559,-0.2806,-20.02,-17.9559,0.888,0.3759,1.3834,0.4551,1.8317,ppo_live
238,-18.5549,-0.2899,-19.9036,-17.9559,0.7462,0.3662,1.915,0.4862,1.981,ppo_live
239,-20.9504,-0.3274,-19.9444,-17.9559,0.8746,0.3925,1.8203,0.7212,2.473,ppo_live
240,-18.9188,-0.2956,-19.958,-17.9559,0.924,0.3732,1.3747,0.3493,2.607,ppo_live
241,-18.1539,-0.2837,-19.8626,-17.9559,0.7803,0.4297,1.2057,0.494,3.0068,ppo_live
